technology,technology,0,us
technology,technologie,0,fr
technology,technik,0,ge
copyright,copyright,0,us
aircraft,a320,0,
aircraft,a330,0,
aircraft,a340,0,
aircraft,a350,0,
title,titre,1,fr
title,title,1,us
company,airbus,0,
#part,part NO,1,us
#part,part number,1,us
